PointID,County,xcoord,ycoord,landusenum,Main_soil,Slope,CS_0_30,gS,mS,fS,gU,mU,fU,Sand,Silt,Clay,pH_H2O,EC_H2O,TC,TOC,TN,FSS,Water_cont,Stone_dens,BD_bulk,Rock_fragm
2,SH,462216.1283,6079359.775,1,YE,N0,81.89,5.8,33.4,35.4,13.1,3.2,1.5,74.6,17.8,7.6,5.29,70.1,21.83,21.83,1.79,1133.3,20.21,2.65,1.17,2.07245283
3,SH,480546.9384,6079739.216,2,MD,N0,71.62,0.1,0.4,42.3,22.6,7.2,5.3,42.8,35.1,22.1,5.14,177.9,20.64,20.64,1.92,1268,17.99,2.65,1.27,0.050566038
4,SH,484922.3074,6080011.471,1,MK,N1,65.6,0.6,1.7,19.9,21.4,13.4,6.7,22.2,41.5,36.3,5.5,86.2,19.15,19.15,1.88,1287.5,30.58,2.65,1.29,0
5,SH,497355.9905,6079646.589,2,RQ,N0.2,88.82,1,48.7,44.6,1.7,0.9,0.4,94.2,3,2.8,6.14,125.9,33.75,33.75,2.66,1154.8,25.4,2.65,1.16,0.031698113
6,SH,505020.3377,6080401.37,2,YU,N0,62.97,5.2,71.4,14.5,0.9,1.2,1.3,91.1,3.3,5.6,4.77,63.5,24.47,24.47,2.1,1180.2,19.5,2.65,1.21,0.849811321
7,SH,477892.4595,6073934.904,1,MK,N0,89.09,0.2,0.6,21.2,24.8,12.3,7.9,21.9,45,33.1,5.52,206,24.54,24.54,2.54,1118.2,31.85,2.65,1.12,0
8,SH,485906.5819,6070790.838,1,MN,N0,78.9,0.4,25.1,39.7,13,4.6,3,65.1,20.6,14.3,5.9,61,20.47,20.47,1.58,1337.8,28.35,2.65,1.34,0
10,SH,501465.8316,6072868.353,1,PP,N0,146.28,1,29,53,10.2,1.8,1.1,83,13.1,3.9,6.08,66,41.79,41.79,2.48,1067.8,29.09,2.65,1.08,0.092075472
11,SH,508466.6135,6072396.748,2,GG,N0,127.55,3.5,32.1,51.7,6.1,1.8,0.7,87.2,8.6,4.2,5.79,106.6,46.91,46.91,3.71,1077.1,23.67,2.65,1.08,0.125283019
12,SH,517542.0486,6073517.896,1,ZZ,N0,110.97,6.7,56.1,28.3,2.6,1.7,0.8,91.1,5,3.9,6.15,62,32.17,32.17,1.75,1247.8,17.64,2.65,1.27,1.631698113
14,SH,535559.9662,6075399.839,1,PP,N0,70.17,2.7,61.3,26.2,3.1,2,1.2,90.3,6.2,3.5,5.78,54.7,17.73,17.73,1.35,1387.8,16.64,2.65,1.41,0.840754717
16,SH,485886.9566,6066135.645,1,MN,N0,67.31,0.1,0.7,44.5,20.3,7,4.2,45.3,31.5,23.2,6.66,76.7,16.76,16.76,1.47,1279.6,24.36,2.65,1.28,0.034716981
17,SH,496407.6067,6063737.146,1,MN,N0,94.34,0.5,2,3,10.1,23,10.9,5.4,44,50.6,6.67,88.6,26.73,26.33,2.58,1189.5,38.57,2.65,1.19,0
18,SH,501826.4884,6066896.013,1,GG,N0,123.52,3.4,26.2,55.4,5.8,2.2,1.2,85,9.2,5.8,6.03,93.3,36.98,36.98,2.05,1065.8,33.22,2.65,1.07,0.390188679
19,SH,512001.0094,6067223.186,1,GG,N0,90.02,4,53.1,29.5,4.3,2.6,1.9,86.5,8.8,4.7,6.1,70.2,21.36,21.36,1.64,1308.9,28.46,2.65,1.33,0.843773585
20,SH,521003.759,6066876.898,1,PPe,N0,124.45,13.8,51.7,22.2,4.5,2.6,1.6,87.6,8.8,3.6,5.69,129.4,37.45,37.45,1.74,1079.8,19.21,2.65,0,8.261149864
21,SH,527891.2651,6067233.131,1,PP,N1,179.85,6.7,37.4,30.3,11.1,5.9,3.1,74.3,20,5.7,5.58,301,60.17,60.17,2.84,921.9,34.48,2.65,0.99,3.969811321
22,SH,533370.7198,6065202.04,1,SS,N1,75.72,9.2,23.8,27.1,14.9,9.3,4.7,60.2,28.8,11,6.64,59.5,19.22,19.22,1.66,1184.9,30.16,2.65,1.3,5.009811321
23,SH,541224.3774,6063998.596,1,LL,N1,58.99,5.1,19.4,29.6,16.3,9.4,5.5,54,31.2,14.8,6.54,65.5,14.95,14.95,1.44,1336.8,21.85,2.65,1.45,5.10490566
24,SH,550702.2245,6065622.665,1,SS,N2.2,68.12,4.8,20,31.1,13.8,9.1,5.6,56,28.5,15.5,6.6,96.7,18.23,18.23,1.86,1283.4,22.24,2.65,1.43,6.997735849
25,SH,560970.4778,6066408.701,1,SS,N2,76.39,3.6,18.6,30.4,18,9.8,4.8,52.6,32.6,14.8,6.29,66.5,21.42,21.42,2,1170.2,34.46,2.65,1.22,2.271698113
28,SH,512456.6418,6054681.244,1,PP,N0,152.54,0.8,26.4,66.6,1.7,1,1,93.7,3.7,2.6,5.91,94,43.88,43.88,2.31,986.9,24.73,2.65,0.99,0.116226415
29,SH,521256.4686,6058902.406,2,PP,N0,310.48,2.9,43.8,41.7,4.2,2.6,1.1,88.4,7.9,3.7,5.88,170,172.57,172.57,9.4,607.3,71.77,2.65,0.61,0
30,SH,525119.1201,6058514.195,1,BB,N2.2,52.86,6.9,34.4,37,9.1,4.3,2.2,78.3,15.7,6,6.29,40.9,17.05,17.05,1.25,958.9,18.1,2.65,0,7.024168519
31,SH,533872.6708,6057273.596,1,SS,N2.2,67.61,5.2,20.9,29.5,18.7,9.9,4.7,55.6,33.3,11.1,6.97,94,21.01,20.49,1.82,1072.5,25.57,2.65,1.2,5.885283019
32,SH,545923.1703,6056737.674,2,SS,N2.2,82.8,1.5,19.4,28.5,17.5,11.1,5.1,49.3,33.6,17.1,5.76,58,42.49,42.49,3.63,889.5,44.72,2.65,0.91,2
33,SH,550288.6168,6056147.992,1,LL,N2,73.57,5.7,20.9,29.6,14.7,8.9,4.6,56.1,28.2,15.7,6.01,83.1,18.48,18.48,1.85,1224.5,19.29,2.65,1.33,4.338867925
36,SH,504330.2613,6051137.693,1,PP,N0,83.34,4,27.8,38.1,17.8,5,2,69.9,24.8,5.3,5.9,65.3,22.44,22.44,1.61,1341.2,26.33,2.65,1.42,4.02490566
37,SH,513376.7121,6046925.204,2,PP,N0,119.91,5.6,40.9,36.6,9.5,2.7,1,83.1,13.2,3.7,5.8,96.9,40.39,40.39,2.82,1258,27.69,2.65,1.32,3.782641509
38,SH,517920.6936,6050629.938,1,YU,N0,81.17,3.2,57.6,33.7,2.3,0.7,0.4,94.4,3.4,2.2,5.69,43.8,19.02,19.02,1.05,1358.9,16.69,2.65,1.36,0.049056604
41,SH,545874.6698,6050145.814,1,SS,N3,51.35,6.5,24.1,37.2,13.1,6.6,3.5,67.8,23.2,9,6.32,35.6,12.81,12.81,1.17,1251.7,17.46,2.65,1.34,3.715471698
42,SH,552171.4286,6051947.827,1,YK,N2.2,57.55,4.7,22.1,31.5,14.9,9.3,6,58.3,30.2,11.5,5.89,56.2,14.69,14.69,1.42,1339.2,19.25,2.65,1.43,4.151698113
44,MV,776613.3831,6055118.19,1,SS,N0.2,39.95,3.8,16.3,35.9,17.8,9.1,4.9,56,31.8,12.2,6.66,146.3,9.04,8.6,0.96,1408,13.03,2.65,1.48,3.390188679
46,SH,495194.5652,6040346.281,1,MC,N0,48.43,0.3,0.3,12.5,63.2,7.2,1.5,13,71.9,15.1,7.48,72.3,13.85,11.91,1.15,1289.7,18.16,2.65,1.29,0
48,SH,510501.7301,6038157.429,1,BB,N1,47.93,2.8,28.8,45.5,13.1,3.2,1.9,77.1,18.2,4.7,6.14,44.2,11.19,11.19,0.87,1394.5,21.19,2.65,1.46,3.734339623
49,SH,519493.3313,6039115.72,1,SS,N0,97.71,3.1,33.1,43.5,8.8,4.3,2.2,79.6,15.3,5.1,5.89,84.8,26.35,26.35,1.85,1187,21.14,2.65,1.27,4.258113208
50,SH,526647.3651,6041074.608,1,BB,N0,93.96,8.9,53.7,28,2.9,1.5,1,90.6,5.4,4,5.38,253,24.28,24.28,1.79,1191.6,16.03,2.65,1.28,3.443773585
52,SH,552340.8782,6038440.548,1,YK,N2.2,36.94,8.5,46.1,32.3,5.7,2.2,1.5,86.9,9.3,3.8,6.55,47.7,10.5,10.5,0.79,1157.8,11.03,2.65,1.31,6.628679245
55,SH,640143.7614,6043702.432,1,SS,N0,164.13,3,13.9,24,15.6,11.2,6.9,40.9,33.7,25.4,6.48,416,45.03,45.03,3.86,964.6,15.85,2.65,1.02,2.563773585
57,MV,781873.2021,6044212.159,1,SS,N0.2,65.52,3.6,20.1,36.5,17.2,6.8,3.4,60.1,27.4,12.5,6.48,242,17.07,16.68,1.71,1335.3,20.45,2.65,1.36,1.670188679
58,SH,502589.7561,6031297.143,2,MN,N0,96.88,0.1,0.6,4.5,37.7,16.6,6,5.2,60.3,34.5,5.69,212,83.14,83.14,8.2,635.9,62.17,2.65,0.64,0
59,SH,514317.7114,6031818.104,1,BB,N0.2,58.49,3.6,34.8,39,12.2,3.7,2.1,77.4,18,4.6,6.91,122.3,15.33,15.33,1.22,1123.3,18.18,2.65,1.25,6.358490566
60,SH,517929.362,6031924.161,2,MN,N0,243.68,0.2,1.3,1.8,4.6,20.9,15,3.4,40.5,56.1,5.3,122.8,120.31,120.31,10.9,548.5,84.42,2.65,0.55,0.063396226
63,SH,541377.5744,6033591.769,2,LL,N2,77.75,5.3,28,28.4,18.3,7.2,3.7,61.7,29.1,9.2,5.31,95.8,37.46,37.46,3.34,984.5,42.37,2.65,1.05,4.2
64,SH,553319.5541,6033920.569,1,LL,N2,40.93,3.8,20.7,35.3,17.2,8.1,4.6,59.9,29.8,10.3,6.23,37.8,10.22,10.22,0.86,1180.2,19.69,2.65,1.26,3.904150943
66,SH,569598.3543,6035155.469,2,YK,N2.2,85.4,2.9,22.1,38.2,15.3,7.5,3.9,63.2,26.7,10.1,5.44,67.3,42.22,42.22,3.73,986.4,18.79,2.65,1.02,1.40754717
67,SH,576862.9588,6034047.818,1,LL,N2,40.62,5.9,25.1,32.9,16.6,7,3.7,63.8,27.3,8.9,7.19,100.9,12.87,12.2,1.1,1174,19.11,2.65,1.3,5.292830189
69,SH,647378.3872,6036771.889,1,SS,N0.2,68.53,5,17.1,26.5,16.3,10.1,4.6,48.6,31,20.4,6.76,102.8,15.4,15.4,1.47,1401.2,19.82,2.65,1.46,1.923018868
71,MV,756815.313,6036339.979,1,LL,N1,40.86,3.2,15.6,42.5,20.1,6.2,3.7,61.3,30,8.7,7.47,108.9,10.68,10.68,1.08,1344,17.84,2.65,1.39,2.290566038
72,MV,774706.5334,6036778.224,1,GG,N0.2,53.63,3.3,36.3,34.1,14.1,3.2,1.8,73.7,19.1,7.2,7.33,321,14.04,13.18,1.3,1251.2,15.1,2.65,1.28,0.564528302
73,MV,784193.0178,6036520.07,1,BB,N0.2,39.24,2.9,17,38.4,20.5,7.5,4.1,58.3,32.2,9.5,6.32,77.8,10.34,10.34,0.89,1127.3,12.45,2.65,1.19,2.870943396
75,MV,800241.4186,6034711.393,1,LL,N2.2,33.26,4.1,14.9,50.2,12.9,5.8,3.7,69.2,22.4,8.4,6.04,45.2,9.8,9.8,0.83,1598.2,16.85,2.65,1.7,4.822641509
76,SH,488182.1728,6026302.347,2,MK,N0,87.22,0.2,1.3,6.3,39.4,15.1,7.6,7.8,62.1,30.1,5.46,76.4,38.64,38.64,3.67,1038.5,29,2.65,1.04,0
77,SH,498691.3682,6025027.583,2,MN,N0,94.78,0.1,1.4,27.1,26.5,10.5,5.4,28.5,42.3,29.2,5.67,127.7,59.99,59.99,5.54,883.1,55.93,2.65,0.89,0
80,SH,520424.4063,6027696.475,1,YK,N2.2,44.99,4.6,28.9,35.9,11.4,6.4,4.1,69.4,21.8,8.8,5.55,45.1,10.96,10.96,1.02,1271.8,20.93,2.65,1.34,3.594716981
81,SH,526261.0495,6025864.347,1,PP,N0,76.5,1.8,36.4,53.9,3.1,1.5,0.7,92.1,5.4,2.5,5.33,45.3,19.62,19.62,1.13,1265.5,15.23,2.65,1.27,0.279245283
82,SH,537752.6303,6023885.89,1,PP,N0,160.53,9.3,51.6,29,4.1,2,1,89.9,7.2,2.9,5.51,31.4,43.91,43.91,2.14,1296,28.44,2.65,1.33,1.269433962
83,SH,541317.7486,6025187.31,2,BB,N4,54.38,6.9,52.8,25.8,5.9,2.7,1.4,85.5,10.1,4.4,5.18,82.5,32.26,32.26,2.56,1041.4,31.23,2.65,0,9.360575104
84,SH,552077.1419,6027562.909,2,KV,N0,303.45,0,0,0,0,0,0,0,0,0,6.03,178.2,183.21,183.21,14.3,437.6,143.47,2.65,0.45,0.098867925
85,SH,559768.1136,6025952.225,1,LL,N1,59.04,5.1,20.9,31.6,16.3,9.1,5.2,57.5,30.6,11.9,6.05,88.1,14.26,14.26,1.25,1412.8,21.04,2.65,1.51,3.700377358
86,SH,567368.1019,6025753.858,1,SS,N2,69.96,4.9,27,32.1,13.3,8.1,4.3,63.9,25.7,10.4,6.46,53.5,16.91,16.91,1.51,1354.5,22.99,2.65,1.41,3.184150943
87,SH,585448.8784,6028164.863,1,YK,N2,66.3,6,21.4,33.1,14.6,8.8,4.8,60.5,28.3,11.2,6.67,201,18.49,18.02,1.64,1312.7,18.05,2.65,1.39,3.434716981
88,SH,592298.8631,6023952.206,1,YK,N0,111.62,7.3,28.8,27.7,12.9,5.4,4.4,63.8,22.8,13.4,7.35,157.4,36.06,36.06,3.23,1039,31.08,2.65,1.1,2.894339623
91,MV,745544.7933,6029745.629,1,LL,N0.2,40.37,4.6,24.6,37.9,18,6,2.4,67,26.4,6.6,6.4,181.1,8.73,8.73,0.9,1396.2,15.5,2.65,1.45,2.366792453
92,MV,752522.6014,6026270.577,1,BB,N0,50.82,2,10,48.9,18.4,6.3,3.4,60.9,28.1,11,6.84,45,12.03,12.03,1.14,1385.2,19.44,2.65,1.43,2.420377358
93,MV,760876.3618,6027332.526,1,GGh,N1,81.26,1.5,8.5,52.6,22,4.9,2.2,62.5,29.2,8.3,7.28,262,20.54,20.54,2.05,1126.5,17.51,2.65,1.16,1.46490566
95,MV,776722.0371,6029806.581,1,YK,N1,42.91,1.9,14.7,52.7,18.6,3.6,2.1,69.3,24.3,6.4,5.99,65.9,11.59,11.28,1.12,1265.6,11.35,2.65,1.27,0.344150943
96,MV,782096.9002,6026280.038,1,SS,N1,86.36,2.9,24.9,49.3,13.3,3.1,1.7,77.1,18.1,4.8,6.14,85,22,22,1.5,1195.6,15.57,2.65,1.24,0.935849057
97,SH,478290.1278,6013980.477,2,MK,N0,90.77,0.1,5.2,37.2,21,10.2,4.7,42.5,35.9,21.6,5.31,94.5,61.12,61.12,5.36,889.3,20.62,2.65,0.89,0
100,SH,503422.2933,6015907.063,2,KV,N0,357.13,0.7,8.1,6.3,16,17.7,11.4,15.1,45.2,39.7,5.11,147.4,166.25,166.25,11.39,589.7,57.59,2.65,0.59,0.008301887
101,SH,510946.5383,6017794.836,2,GH,N0,242.61,3.9,32,28.5,13,6.2,4.1,64.4,23.3,12.3,5.43,192.4,143.48,143.48,9.43,638,72.01,2.65,0.64,0.104150943
102,SH,517707.2477,6016034.116,2,YU,N2,66.31,1.8,28.1,48.4,10.7,3.9,2,78.3,16.6,5.1,6.19,129.9,31.93,31.93,2.85,1185,32.41,2.65,1.21,2.068679245
106,SH,554147.0307,6018019.312,1,YK,N2.2,59.59,8.5,47.2,23.9,8.8,3.9,2,79.6,14.8,5.6,6.21,45.8,15.02,15.02,1.21,1203.3,9.76,2.65,1.32,5.230188679
107,SH,561191.883,6017097.295,1,LL,N0,27.85,9.3,21.6,35.8,11.8,6.7,4.6,66.6,23.1,10.3,6.86,79.1,7.07,7.07,0.6,1207.8,15.11,2.65,0,13.38570674
112,SH,599845.5596,6018481.13,1,YK,N3,55.41,8.4,29.1,27.3,11.9,7,3.9,64.8,22.7,12.5,6.51,71.3,13.82,13.82,1.27,1324.7,20.52,2.65,1.42,4.556226415
119,MV,733391.7781,6018862.895,1,SS,N0,50.08,3.4,17.8,32.6,18.7,9,4.6,53.7,32.2,14.1,6.97,99.3,11.38,11.06,1.19,1447.2,18.49,2.65,1.49,1.483773585
120,MV,745625.9197,6018684.212,1,SS,N1,42.36,4,23.3,37,16.6,6.7,3.6,64.3,26.8,8.9,6.97,63.8,11.2,11.2,1.03,1269.1,19.34,2.65,1.35,3.659622642
121,MV,753992.0114,6020974.314,2,SS,N0,141.9,0.2,0.8,3.8,25.3,29.9,13.3,4.8,68.5,26.7,6.31,144.2,85.48,85.48,8.54,753.4,76.63,2.65,0.76,0
123,MV,768830.0724,6018108.773,1,BB,N0,47.56,4.8,18.5,35.6,23.9,6.5,3,58.9,33.3,7.8,6.56,63.6,14.11,14.11,1.3,1204.4,17.98,2.65,1.26,2.338113208
124,SH,496883.1935,6009660.976,1,MN,N0,45.42,0,0.1,40.8,35.9,5.5,3.3,40.9,44.8,14.3,6.78,76.9,10.78,10.78,1.09,1250,23.39,2.65,1.25,0
127,SH,521187.8562,6010530.429,1,BB,N0.2,48.37,5.4,32.4,39.1,11.3,4.5,2.1,76.9,17.8,5.3,6.33,61.5,11.99,11.99,0.95,1148.2,17.62,2.65,1.21,4.23245283
128,SH,525758.452,6008202.731,2,MD,N0,95.99,0.2,0.9,5.1,33.2,21.6,7.9,6.2,62.6,31.2,6.01,128.1,70.42,70.42,6.79,749,49.36,2.65,0.75,0
129,SH,536457.2109,6007057.991,2,PP,N1,128.92,0.4,37.2,52.8,5.5,1,0.9,90.4,7.4,2.2,5.13,53.8,35.74,35.74,2.18,1183.3,31.11,2.65,1.19,0.01509434
132,SH,560749.4784,6007768.882,1,BB,N1,24.32,13.5,52.2,23.8,4.5,1.9,1.3,89.6,7.7,2.7,6.33,33.3,6.74,6.74,0.58,1156.8,11.82,2.65,0,9.023233304
134,SH,576449.7546,6010841.698,2,SS,N2,73.08,1.8,31.6,36.4,10,5.9,3,69.8,18.9,11.3,5.38,130.8,38.09,38.09,3.46,1141.6,34.66,2.65,1.17,2
136,SH,592058.3846,6012734.224,1,SS,N0,53.46,4.5,15.9,29.7,19.1,9.2,5.7,50.1,33.9,16,6.26,62.4,13.31,13.31,1.26,1304.1,22.96,2.65,1.37,3.860377358
137,SH,601166.1114,6009738.083,2,SS,N3.1,66.26,3.1,11.4,17.8,10.7,14.8,10.9,32.3,36.4,31.3,6.24,72.9,32.45,32.45,2.65,878.6,56.47,2.65,0.89,0.241509434
138,SH,611076.7976,6009876.067,2,LL,N4,56.93,3,21,33.2,12.7,9.2,4.8,57.2,26.8,16,5.58,87.5,27.84,27.84,2.44,1193.1,26.25,2.65,1.23,2.179622642
140,SH,625135.2553,6012447.687,1,YK,N2,45.06,2.5,21.4,47.3,14.9,4.1,2.7,71.2,21.7,7.1,7.03,87,11.17,11.17,1.02,1378.1,14.12,2.65,1.41,1.43245283
141,SH,633309.0636,6009870.619,2,SS,N0,60.15,6.6,21.8,35.6,13,6.4,4.6,64,24.1,11.9,6.41,54,15.73,15.73,1.39,1287.3,27.76,2.65,1.37,3.860377358
145,MV,735478.5668,6014243.5,1,LL,N1,52.54,3.4,19.1,37.5,22.3,6.4,4,60.1,32.7,7.2,6.25,46.8,11.28,11.28,1.07,1545.1,16.51,2.65,1.61,2.825660377
147,MV,749463.5256,6010838.214,1,YK,N1,41.65,4,24.7,37.6,12.3,8.2,4.8,66.3,25.3,8.4,6.97,64,9.9,9.67,0.92,1445.3,18,2.65,1.47,0.913207547
148,MV,762429.7326,6012624.982,1,SS,N0.2,51.11,3.4,20.3,36.3,16.4,8.4,3.5,60,28.3,11.7,6.33,79.2,11.57,11.57,0.87,1278.4,13.32,2.65,1.34,3.003773585
149,MV,767937.788,6012429.348,1,SS,N0,58.01,4.5,20,37.4,16,7.7,4.5,62,28.2,9.8,6.79,106.6,14.81,14.48,1.19,1282.8,11.38,2.65,1.34,2.771320755
